epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,
5.684546245,0.712137562,1.381156735,228.0639954,88.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.784247143,0.715897235,1.380927535,232.0639954,92.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.88394804,0.7176594,1.378700562,236.0639954,96.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.983648937,0.71788369,1.379574697,240.0639954,100.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.984446544,0.717587352,1.380700231,240.0959954,0.032000002,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.084147443,0.71861272,1.378127549,244.0959954,4.032000065,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.183848329,0.7198539,1.378257229,248.0959949,8.031999588,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.283549226,0.71956897,1.377275723,252.0959949,12.03199959,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.383250123,0.722019927,1.376763203,256.0959949,16.03199959,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.482951021,0.716677213,1.377413575,260.0959949,20.03199959,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.582651918,0.715161757,1.377181653,264.0959949,24.03199959,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.682352815,0.721137075,1.379009917,268.0959949,28.03199959,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.78205376,0.719366767,1.377304358,272.0959969,32.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.881754657,0.714864215,1.377662367,276.0959969,36.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
6.981455555,0.714727479,1.378208394,280.0959969,40.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
7.081156452,0.713587559,1.378956832,284.0959969,44.0320015,00002-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
