epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,,,,,,,
5.484346901,0.704513857,1.38186308,220.0319977,96.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.484745705,0.680515051,1.381554008,220.0479977,0.016000001,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.584446597,0.708059242,1.378542082,224.0479975,4.015999794,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.684147494,0.707782716,1.37933694,228.0479975,8.015999794,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.783848392,0.711193677,1.379742145,232.0479975,12.01599979,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.883549313,0.707678099,1.378835173,236.0479984,16.01600075,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.98325021,0.705315637,1.380223423,240.0479984,20.01600075,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.082951107,0.705181584,1.38013018,244.0479984,24.01600075,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.182652005,0.704239834,1.380836778,248.0479984,28.01600075,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.282352854,0.703613451,1.380589444,252.0479965,32.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.382053752,0.705695351,1.380298432,256.0479965,36.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.481754649,0.720251329,1.387447089,260.0479965,40.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.581455546,0.706400966,1.376560979,264.0479965,44.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.681156444,0.705187966,1.377867348,268.0479965,48.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.780857341,0.705077578,1.379514186,272.0479965,52.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.880558238,0.703705991,1.380266885,276.0479965,56.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
6.980259136,0.708828586,1.379869555,280.0479965,60.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
7.079960033,0.703252643,1.379832616,284.0479965,64.01599884,00002-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
