epoch,G_loss,D_loss,kimg_acu,kimg,run_id
5.78504474,0.745322644,1.371497639,232.0959949,12.03199959,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.884745637,0.747704954,1.370423747,236.0959949,16.03199959,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.984446534,0.743094984,1.371561112,240.0959949,20.03199959,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.084147431,0.738717207,1.374189502,244.0959949,24.03199959,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.183848329,0.743550217,1.371471765,248.0959949,28.03199959,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.283549274,0.729744626,1.372848735,252.0959969,32.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.383250171,0.734398957,1.373250136,256.0959969,36.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.482951068,0.73272434,1.373761845,260.0959969,40.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.582651966,0.730663391,1.375625535,264.0959969,44.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.682352863,0.730529388,1.375070418,268.0959969,48.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.78205376,0.728192752,1.374156354,272.0959969,52.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.881754657,0.730713058,1.375766493,276.0959969,56.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
6.981455555,0.726132735,1.375419384,280.0959969,60.0320015,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.081156357,0.729322906,1.375968297,284.095993,64.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.180857254,0.724944663,1.376556624,288.095993,68.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.280558152,0.723610105,1.377948112,292.095993,72.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.380259049,0.721322438,1.377565269,296.095993,76.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.479959946,0.719810551,1.37869438,300.095993,80.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.579660844,0.723698286,1.378295725,304.095993,84.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.679361741,0.723969669,1.377557156,308.095993,88.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.779062638,0.723641933,1.377409729,312.095993,92.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.878763535,0.722126297,1.380025862,316.095993,96.03199768,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
7.978464433,0.725938192,1.37825577,320.095993,100.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.07816533,0.725396802,1.375612084,324.095993,104.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.177866227,0.723059937,1.376255426,328.095993,108.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.277567125,0.721237261,1.377085265,332.095993,112.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.377268022,0.720802641,1.377252586,336.095993,116.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.476968919,0.718017505,1.377184738,340.095993,120.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.576669817,0.72024056,1.377717259,344.095993,124.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.676370714,0.719594629,1.377298251,348.095993,128.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.776071611,0.719711543,1.377834917,352.095993,132.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.875772509,0.718950303,1.378199893,356.095993,136.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
8.975473406,0.720842031,1.377516582,360.095993,140.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
9.075174303,0.725927414,1.375714978,364.095993,144.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
9.1748752,0.72470199,1.375797439,368.095993,148.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
9.274576098,0.72385412,1.376659619,372.095993,152.0319977,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
